l,l1,l2,n1,n2,p,p1,p2,mirror1,mirror2,ReRatioNL,ImRatioNL
2,2,2,0,0,0,0,0,0,0,0.0544,0.221
2,2,2,0,0,0,0,0,0,1,-0.135,-2.78e-27
2,2,2,1,0,0,0,0,0,0,0.105,0.214
2,2,2,1,0,0,0,0,1,0,0.0349,0.0853
2,2,2,0,1,0,0,0,0,0,0.105,0.214
2,2,2,0,1,0,0,0,0,1,0.0349,0.0853
2,2,2,1,1,0,0,0,0,0,0.160,0.203
2,2,2,1,1,0,0,0,0,1,-0.112,2.49e-26
4,2,2,0,0,0,0,0,0,0,0.919,-0.0627
4,2,2,0,0,0,0,0,0,1,-0.00168,-9.3e-25
4,2,2,1,0,0,0,0,0,0,0.875,-0.108
4,2,2,1,0,0,0,0,1,0,0.0204,-0.0133
4,2,2,0,1,0,0,0,0,0,0.875,-0.108
4,2,2,0,1,0,0,0,0,1,0.0204,-0.0133
4,2,2,1,1,0,0,0,0,0,0.961,-0.0981
4,2,2,1,1,0,0,0,0,1,0.0369,1.97e-25
3,2,3,0,0,0,0,0,0,0,-0.0102,-0.166
3,2,3,0,0,0,0,0,1,0,0.0644,-0.252
3,2,3,1,0,0,0,0,0,0,-0.0734,-0.18
3,2,3,1,0,0,0,0,1,0,0.0925,-0.335
3,2,3,0,1,0,0,0,0,0,-0.0182,-0.176
3,2,3,0,1,0,0,0,1,0,0.0397,-0.27
5,2,3,0,0,0,0,0,0,0,-1.38,0.112
5,2,3,0,0,0,0,0,1,0,-0.0169,-0.0264
5,2,3,1,0,0,0,0,0,0,-1.31,0.186
5,2,3,1,0,0,0,0,1,0,-0.0369,0.0248
5,2,3,0,1,0,0,0,0,0,-1.39,0.167
5,2,3,0,1,0,0,0,1,0,-0.051,0.00431
2,2,4,0,0,0,0,0,0,0,0.0175,0.0933
2,2,4,0,0,0,0,0,1,0,-1.37,-0.286
2,2,4,1,0,0,0,0,0,0,-0.00624,0.0862
2,2,4,1,0,0,0,0,1,0,-0.638,-0.0794
2,2,4,0,1,0,0,0,0,0,0.0504,0.0854
2,2,4,0,1,0,0,0,1,0,-1.07,-0.062
4,2,4,0,0,0,0,0,0,0,-0.0168,0.12
4,2,4,0,0,0,0,0,1,0,-0.0344,0.214
4,2,4,1,0,0,0,0,0,0,0.0694,0.153
4,2,4,1,0,0,0,0,1,0,-0.129,0.333
4,2,4,0,1,0,0,0,0,0,-0.0328,0.135
4,2,4,0,1,0,0,0,1,0,-0.0525,0.232
6,2,4,0,0,0,0,0,0,0,1.85,-0.134
6,2,4,0,0,0,0,0,1,0,0.0357,0.0575
6,2,4,1,0,0,0,0,0,0,1.76,-0.26
6,2,4,1,0,0,0,0,1,0,0.0751,0.000598
6,2,4,0,1,0,0,0,0,0,1.88,-0.19
6,2,4,0,1,0,0,0,1,0,0.0789,0.0336
3,2,5,0,0,0,0,0,0,0,-0.0215,-0.153
3,2,5,0,0,0,0,0,1,0,1.95,0.332
3,2,5,1,0,0,0,0,0,0,0.0232,-0.14
3,2,5,1,0,0,0,0,1,0,1.13,0.211
3,2,5,0,1,0,0,0,0,0,-0.0675,-0.144
3,2,5,0,1,0,0,0,1,0,1.69,0.187
5,2,5,0,0,0,0,0,0,0,0.0373,-0.0793
5,2,5,0,0,0,0,0,1,0,0.0274,-0.175
5,2,5,1,0,0,0,0,0,0,-0.0778,-0.133
5,2,5,1,0,0,0,0,1,0,0.158,-0.325
5,2,5,0,1,0,0,0,0,0,0.0693,-0.098
5,2,5,0,1,0,0,0,1,0,0.062,-0.191
7,2,5,0,0,0,0,0,0,0,-2.35,0.146
7,2,5,0,0,0,0,0,1,0,-0.0502,-0.0943
7,2,5,1,0,0,0,0,0,0,-2.24,0.335
7,2,5,1,0,0,0,0,1,0,-0.113,-0.0296
7,2,5,0,1,0,0,0,0,0,-2.39,0.2
7,2,5,0,1,0,0,0,1,0,-0.102,-0.0744
4,2,6,0,0,0,0,0,0,0,0.0224,0.212
4,2,6,0,0,0,0,0,1,0,-2.46,-0.35
4,2,6,1,0,0,0,0,0,0,-0.0449,0.191
4,2,6,1,0,0,0,0,1,0,-1.62,-0.331
4,2,6,0,1,0,0,0,0,0,0.0777,0.202
4,2,6,0,1,0,0,0,1,0,-2.24,-0.258
6,2,6,0,0,0,0,0,0,0,-0.0548,0.0421
6,2,6,0,0,0,0,0,1,0,-0.0237,0.141
6,2,6,1,0,0,0,0,0,0,0.0934,0.117
6,2,6,1,0,0,0,0,1,0,-0.189,0.32
6,2,6,0,1,0,0,0,0,0,-0.0985,0.0627
6,2,6,0,1,0,0,0,1,0,-0.0695,0.154
5,2,7,0,0,0,0,0,0,0,-0.0215,-0.271
5,2,7,0,0,0,0,0,1,0,3.,0.361
5,2,7,1,0,0,0,0,0,0,0.07,-0.242
5,2,7,1,0,0,0,0,1,0,2.13,0.443
5,2,7,0,1,0,0,0,0,0,-0.0842,-0.261
5,2,7,0,1,0,0,0,1,0,2.8,0.298
7,2,7,0,0,0,0,0,0,0,0.0707,-0.00665
7,2,7,1,0,0,0,0,1,0,0.222,-0.317
7,2,7,0,1,0,0,0,0,0,0.124,-0.0286
7,2,7,0,1,0,0,0,1,0,0.0748,-0.119
2,3,3,0,0,0,0,0,0,0,-0.027,-0.15
2,3,3,0,0,0,0,0,0,1,-0.269,-6.46e-26
2,3,3,1,0,0,0,0,0,0,-0.0504,-0.146
2,3,3,1,0,0,0,0,1,0,-0.18,-0.182
2,3,3,0,1,0,0,0,0,0,-0.0504,-0.146
2,3,3,0,1,0,0,0,0,1,-0.18,-0.182
4,3,3,0,0,0,0,0,0,0,0.00439,0.179
4,3,3,0,0,0,0,0,0,1,-0.2,-1.03e-24
4,3,3,1,0,0,0,0,0,0,0.03,0.19
4,3,3,1,0,0,0,0,1,0,-0.0664,-0.0135
4,3,3,0,1,0,0,0,0,0,0.03,0.19
4,3,3,0,1,0,0,0,0,1,-0.0664,-0.0135
6,3,3,0,0,0,0,0,0,0,1.65,-0.241
6,3,3,0,0,0,0,0,0,1,-0.0268,-1.05e-25
6,3,3,1,0,0,0,0,0,0,1.66,-0.336
6,3,3,1,0,0,0,0,1,0,-0.00315,-0.00367
6,3,3,0,1,0,0,0,0,0,1.66,-0.336
6,3,3,0,1,0,0,0,0,1,-0.00315,-0.00367
3,3,4,0,0,0,0,0,0,0,0.0155,0.11
3,3,4,0,0,0,0,0,1,0,0.0492,0.294
3,3,4,1,0,0,0,0,0,0,0.0392,0.109
3,3,4,1,0,0,0,0,1,0,0.122,0.506
3,3,4,0,1,0,0,0,0,0,0.0233,0.11
3,3,4,0,1,0,0,0,1,0,0.121,0.391
5,3,4,0,0,0,0,0,0,0,0.00518,-0.171
5,3,4,0,0,0,0,0,1,0,0.0887,-0.148
5,3,4,1,0,0,0,0,0,0,-0.0331,-0.187
5,3,4,1,0,0,0,0,1,0,0.0656,-0.0983
5,3,4,0,1,0,0,0,0,0,-0.00164,-0.181
5,3,4,0,1,0,0,0,1,0,0.0505,-0.127
7,3,4,0,0,0,0,0,0,0,-1.89,0.302
7,3,4,0,0,0,0,0,1,0,0.00869,-0.0353
7,3,4,1,0,0,0,0,0,0,-1.91,0.456
7,3,4,1,0,0,0,0,1,0,-0.000251,-0.00838
7,3,4,0,1,0,0,0,0,0,-1.92,0.391
7,3,4,0,1,0,0,0,1,0,-0.00807,-0.0175
2,3,5,0,0,0,0,0,0,0,-0.00683,-0.062
2,3,5,0,0,0,0,0,1,0,2.68,0.802
2,3,5,1,0,0,0,0,0,0,-0.000419,-0.0601
2,3,5,1,0,0,0,0,1,0,1.34,0.354
2,3,5,0,1,0,0,0,0,0,-0.0225,-0.0601
2,3,5,0,1,0,0,0,1,0,1.95,0.375
4,3,5,0,0,0,0,0,0,0,-0.00931,-0.076
4,3,5,0,0,0,0,0,1,0,-0.019,-0.293
4,3,5,1,0,0,0,0,0,0,-0.0369,-0.0778
4,3,5,1,0,0,0,0,1,0,-0.0154,-0.435
4,3,5,0,1,0,0,0,0,0,-0.00666,-0.0775
4,3,5,0,1,0,0,0,1,0,-0.0453,-0.342
6,3,5,0,0,0,0,0,0,0,-0.0135,0.159
6,3,5,0,0,0,0,0,1,0,-0.0396,0.128
6,3,5,1,0,0,0,0,0,0,0.0379,0.183
6,3,5,1,0,0,0,0,1,0,-0.0627,0.122
6,3,5,0,1,0,0,0,0,0,-0.0188,0.17
6,3,5,0,1,0,0,0,1,0,-0.038,0.128
3,3,6,0,0,0,0,0,0,0,0.00789,0.0964
3,3,6,0,0,0,0,0,1,0,-2.97,-0.785
3,3,6,1,0,0,0,0,0,0,-0.00523,0.093
3,3,6,1,0,0,0,0,1,0,-1.98,-0.739
3,3,6,0,1,0,0,0,0,0,0.03,0.0942
3,3,6,0,1,0,0,0,1,0,-2.56,-0.673
5,3,6,0,0,0,0,0,0,0,0.00608,0.0475
5,3,6,0,0,0,0,0,1,0,0.00932,0.278
5,3,6,1,0,0,0,0,0,0,0.0398,0.0523
5,3,6,1,0,0,0,0,1,0,-0.0294,0.41
5,3,6,0,1,0,0,0,0,0,-0.00385,0.0496
5,3,6,0,1,0,0,0,1,0,0.0155,0.313
7,3,6,0,0,0,0,0,0,0,0.0208,-0.149
7,3,6,0,0,0,0,0,1,0,0.0293,-0.106
7,3,6,1,0,0,0,0,0,0,-0.045,-0.181
7,3,6,1,0,0,0,0,1,0,0.0637,-0.123
7,3,6,0,1,0,0,0,0,0,0.0346,-0.159
7,3,6,0,1,0,0,0,1,0,0.0363,-0.114
4,3,7,0,0,0,0,0,0,0,-0.00753,-0.127
4,3,7,0,0,0,0,0,1,0,3.12,0.766
4,3,7,1,0,0,0,0,0,0,0.013,-0.122
4,3,7,1,0,0,0,0,1,0,2.44,0.992
4,3,7,0,1,0,0,0,0,0,-0.0341,-0.125
4,3,7,0,1,0,0,0,1,0,2.9,0.772
6,3,7,0,0,0,0,0,0,0,-0.00461,-0.0223
6,3,7,0,0,0,0,0,1,0,-0.0041,-0.265
6,3,7,1,0,0,0,0,0,0,-0.0458,-0.0303
6,3,7,1,0,0,0,0,1,0,0.0583,-0.4
6,3,7,0,1,0,0,0,0,0,0.0108,-0.0246
6,3,7,0,1,0,0,0,1,0,0.00134,-0.294
2,4,4,0,0,0,0,0,0,0,0.016,0.123
2,4,4,0,0,0,0,0,0,1,1.12,-3.43e-25
2,4,4,1,0,0,0,0,0,0,0.0305,0.121
2,4,4,1,0,0,0,0,1,0,0.599,0.325
2,4,4,0,1,0,0,0,0,0,0.0305,0.121
2,4,4,0,1,0,0,0,0,1,0.599,0.325
4,4,4,0,0,0,0,0,0,0,-0.0134,-0.121
4,4,4,0,0,0,0,0,0,1,0.165,9.03e-25
4,4,4,1,0,0,0,0,0,0,-0.0274,-0.121
4,4,4,1,0,0,0,0,1,0,0.00658,0.000729
4,4,4,0,1,0,0,0,0,0,-0.0274,-0.121
4,4,4,0,1,0,0,0,0,1,0.00658,0.000729
6,4,4,0,0,0,0,0,0,0,-0.00759,0.182
6,4,4,0,0,0,0,0,0,1,-0.205,-1.84e-25
6,4,4,1,0,0,0,0,0,0,0.0112,0.194
6,4,4,1,0,0,0,0,1,0,-0.0817,-0.0209
6,4,4,0,1,0,0,0,0,0,0.0112,0.194
6,4,4,0,1,0,0,0,0,1,-0.0817,-0.0209
3,4,5,0,0,0,0,0,0,0,-0.0103,-0.0909
3,4,5,0,0,0,0,0,1,0,-0.281,-0.258
3,4,5,1,0,0,0,0,0,0,-0.0239,-0.0897
3,4,5,1,0,0,0,0,1,0,-0.457,-0.702
3,4,5,0,1,0,0,0,0,0,-0.0165,-0.0904
3,4,5,0,1,0,0,0,1,0,-0.403,-0.508
5,4,5,0,0,0,0,0,0,0,0.0103,0.112
5,4,5,0,0,0,0,0,1,0,-0.0877,0.188
5,4,5,1,0,0,0,0,0,0,0.0281,0.113
5,4,5,1,0,0,0,0,1,0,-0.032,0.135
5,4,5,0,1,0,0,0,0,0,0.0168,0.113
5,4,5,0,1,0,0,0,1,0,-0.0217,0.16
7,4,5,0,0,0,0,0,0,0,0.0116,-0.184
7,4,5,0,0,0,0,0,1,0,0.0921,-0.117
7,4,5,1,0,0,0,0,0,0,-0.0169,-0.199
7,4,5,1,0,0,0,0,1,0,0.0745,-0.0481
7,4,5,0,1,0,0,0,0,0,0.00435,-0.194
7,4,5,0,1,0,0,0,1,0,0.0613,-0.0771
2,4,6,0,0,0,0,0,0,0,0.00429,0.0498
2,4,6,0,0,0,0,0,1,0,-4.47,-1.39
2,4,6,1,0,0,0,0,0,0,0.00207,0.049
2,4,6,1,0,0,0,0,1,0,-2.32,-0.713
2,4,6,0,1,0,0,0,0,0,0.0137,0.049
2,4,6,0,1,0,0,0,1,0,-3.12,-0.743
4,4,6,0,0,0,0,0,0,0,0.0069,0.0631
4,4,6,0,0,0,0,0,1,0,0.104,0.308
4,4,6,1,0,0,0,0,0,0,0.0213,0.0629
4,4,6,1,0,0,0,0,1,0,0.188,0.522
4,4,6,0,1,0,0,0,0,0,0.00711,0.0633
4,4,6,0,1,0,0,0,1,0,0.177,0.405
6,4,6,0,0,0,0,0,0,0,-0.00817,-0.1
6,4,6,0,0,0,0,0,1,0,0.0329,-0.183
6,4,6,1,0,0,0,0,0,0,-0.0298,-0.103
6,4,6,1,0,0,0,0,1,0,0.0375,-0.169
6,4,6,0,1,0,0,0,0,0,-0.00901,-0.102
6,4,6,0,1,0,0,0,1,0,0.0158,-0.176
3,4,7,0,0,0,0,0,0,0,-0.00512,-0.0753
3,4,7,0,0,0,0,0,1,0,4.17,1.12
3,4,7,1,0,0,0,0,0,0,0.000153,-0.0739
3,4,7,1,0,0,0,0,1,0,3.,1.28
3,4,7,0,1,0,0,0,0,0,-0.0185,-0.0743
3,4,7,0,1,0,0,0,1,0,3.62,1.11
5,4,7,0,0,0,0,0,0,0,-0.00505,-0.0402
5,4,7,0,0,0,0,0,1,0,-0.0569,-0.318
5,4,7,1,0,0,0,0,0,0,-0.0214,-0.0409
5,4,7,1,0,0,0,0,1,0,-0.0852,-0.472
5,4,7,0,1,0,0,0,0,0,-0.000932,-0.0407
5,4,7,0,1,0,0,0,1,0,-0.0965,-0.374
7,4,7,0,0,0,0,0,0,0,0.00687,0.0884
7,4,7,0,0,0,0,0,1,0,-0.0187,0.167
7,4,7,1,0,0,0,0,0,0,0.0328,0.0926
7,4,7,1,0,0,0,0,1,0,-0.0364,0.176
7,4,7,0,1,0,0,0,0,0,0.00341,0.0898
7,4,7,0,1,0,0,0,1,0,-0.0121,0.172
2,5,5,0,0,0,0,0,0,0,-0.0109,-0.108
2,5,5,0,0,0,0,0,0,1,-2.42,-8.01e-25
2,5,5,1,0,0,0,0,0,0,-0.0211,-0.107
2,5,5,1,0,0,0,0,1,0,-1.27,-0.485
2,5,5,0,1,0,0,0,0,0,-0.0211,-0.107
2,5,5,0,1,0,0,0,0,1,-1.27,-0.485
4,5,5,0,0,0,0,0,0,0,0.00965,0.1
4,5,5,0,0,0,0,0,0,1,0.00701,1.23e-24
4,5,5,1,0,0,0,0,0,0,0.019,0.0995
4,5,5,1,0,0,0,0,1,0,0.134,0.021
4,5,5,0,1,0,0,0,0,0,0.019,0.0995
4,5,5,0,1,0,0,0,0,1,0.134,0.021
6,5,5,0,0,0,0,0,0,0,-0.00889,-0.118
6,5,5,0,0,0,0,0,0,1,0.258,-2.66e-25
6,5,5,1,0,0,0,0,0,0,-0.0198,-0.12
6,5,5,1,0,0,0,0,1,0,0.0885,0.0217
6,5,5,0,1,0,0,0,0,0,-0.0198,-0.12
6,5,5,0,1,0,0,0,0,1,0.0885,0.0217
3,5,6,0,0,0,0,0,0,0,0.00733,0.0798
3,5,6,0,0,0,0,0,1,0,0.633,0.161
3,5,6,1,0,0,0,0,0,0,0.0165,0.0791
3,5,6,1,0,0,0,0,1,0,0.925,0.933
3,5,6,0,1,0,0,0,0,0,0.0123,0.0794
3,5,6,0,1,0,0,0,1,0,0.817,0.647
5,5,6,0,0,0,0,0,0,0,-0.00795,-0.0915
5,5,6,0,0,0,0,0,1,0,0.0342,-0.174
5,5,6,1,0,0,0,0,0,0,-0.0189,-0.0914
5,5,6,1,0,0,0,0,1,0,-0.0518,-0.16
5,5,6,0,1,0,0,0,0,0,-0.0132,-0.0915
5,5,6,0,1,0,0,0,1,0,-0.0507,-0.168
7,5,6,0,0,0,0,0,0,0,0.0075,0.116
7,5,6,0,0,0,0,0,1,0,-0.123,0.168
7,5,6,1,0,0,0,0,0,0,0.0219,0.119
7,5,6,1,0,0,0,0,1,0,-0.0887,0.0736
7,5,6,0,1,0,0,0,0,0,0.0134,0.118
7,5,6,0,1,0,0,0,1,0,-0.0735,0.107
2,5,7,0,0,0,0,0,0,0,-0.00314,-0.0431
2,5,7,0,0,0,0,0,1,0,6.84,2.09
2,5,7,1,0,0,0,0,0,0,-0.00243,-0.0427
2,5,7,1,0,0,0,0,1,0,3.63,1.17
2,5,7,0,1,0,0,0,0,0,-0.00955,-0.0427
2,5,7,0,1,0,0,0,1,0,4.65,1.19
4,5,7,0,0,0,0,0,0,0,-0.00501,-0.0556
4,5,7,0,0,0,0,0,1,0,-0.223,-0.286
4,5,7,1,0,0,0,0,0,0,-0.0141,-0.0553
4,5,7,1,0,0,0,0,1,0,-0.409,-0.608
4,5,7,0,1,0,0,0,0,0,-0.00598,-0.0556
4,5,7,0,1,0,0,0,1,0,-0.359,-0.456
6,5,7,0,0,0,0,0,0,0,0.00663,0.0802
6,5,7,0,0,0,0,0,1,0,-0.0107,0.194
6,5,7,1,0,0,0,0,0,0,0.019,0.0805
6,5,7,1,0,0,0,0,1,0,0.01,0.193
6,5,7,0,1,0,0,0,0,0,0.00848,0.0804
6,5,7,0,1,0,0,0,1,0,0.0221,0.194
2,6,6,0,0,0,0,0,0,0,0.00808,0.0973
2,6,6,0,0,0,0,0,0,1,4.19,-3.35e-24
2,6,6,1,0,0,0,0,0,0,0.0158,0.0966
2,6,6,1,0,0,0,0,1,0,2.19,0.659
2,6,6,0,1,0,0,0,0,0,0.0158,0.0966
2,6,6,0,1,0,0,0,0,1,2.19,0.659
4,6,6,0,0,0,0,0,0,0,-0.00717,-0.088
4,6,6,0,0,0,0,0,0,1,-0.299,-9.e-25
4,6,6,1,0,0,0,0,0,0,-0.0141,-0.0876
4,6,6,1,0,0,0,0,1,0,-0.349,-0.0468
4,6,6,0,1,0,0,0,0,0,-0.0141,-0.0876
4,6,6,0,1,0,0,0,0,1,-0.349,-0.0468
6,6,6,0,0,0,0,0,0,0,0.00725,0.0954
6,6,6,0,0,0,0,0,0,1,-0.221,0.
6,6,6,1,0,0,0,0,0,0,0.0147,0.0956
6,6,6,1,0,0,0,0,1,0,-0.048,-0.0162
6,6,6,0,1,0,0,0,0,0,0.0147,0.0956
6,6,6,0,1,0,0,0,0,1,-0.048,-0.0162
3,6,7,0,0,0,0,0,0,0,-0.00557,-0.0723
3,6,7,0,0,0,0,0,1,0,-1.11,-0.00698
3,6,7,1,0,0,0,0,0,0,-0.0123,-0.0718
3,6,7,1,0,0,0,0,1,0,-1.54,-1.2
3,6,7,0,1,0,0,0,0,0,-0.0096,-0.072
3,6,7,0,1,0,0,0,1,0,-1.37,-0.818
5,6,7,0,0,0,0,0,0,0,0.00604,0.0802
5,6,7,0,0,0,0,0,1,0,0.0656,0.12
5,6,7,1,0,0,0,0,0,0,0.0137,0.0799
5,6,7,1,0,0,0,0,1,0,0.182,0.175
5,6,7,0,1,0,0,0,0,0,0.0103,0.08
5,6,7,0,1,0,0,0,1,0,0.167,0.162
7,6,7,0,0,0,0,0,0,0,-0.00643,-0.0924
7,6,7,0,0,0,0,0,1,0,0.116,-0.177
7,6,7,1,0,0,0,0,0,0,-0.0155,-0.0928
7,6,7,1,0,0,0,0,1,0,0.0692,-0.0856
7,6,7,0,1,0,0,0,0,0,-0.0111,-0.0927
7,6,7,0,1,0,0,0,1,0,0.057,-0.113
2,7,7,0,0,0,0,0,0,0,-0.00632,-0.0895
2,7,7,0,0,0,0,0,0,1,-6.47,-2.42e-24
2,7,7,1,0,0,0,0,0,0,-0.0124,-0.089
2,7,7,1,0,0,0,0,1,0,-3.38,-0.845
2,7,7,0,1,0,0,0,0,0,-0.0124,-0.089
2,7,7,0,1,0,0,0,0,1,-3.38,-0.845
4,7,7,0,0,0,0,0,0,0,0.00559,0.0799
4,7,7,0,0,0,0,0,0,1,0.71,3.79e-24
4,7,7,1,0,0,0,0,0,0,0.011,0.0795
4,7,7,1,0,0,0,0,1,0,0.64,0.075
4,7,7,0,1,0,0,0,0,0,0.011,0.0795
4,7,7,0,1,0,0,0,0,1,0.64,0.075
6,7,7,0,0,0,0,0,0,0,-0.00566,-0.0832
6,7,7,0,0,0,0,0,0,1,0.115,8.e-25
6,7,7,1,0,0,0,0,0,0,-0.0113,-0.0831
6,7,7,1,0,0,0,0,1,0,-0.0324,0.00833
6,7,7,0,1,0,0,0,0,0,-0.0113,-0.0831
6,7,7,0,1,0,0,0,0,1,-0.0324,0.00833
3,2,2,0,0,1,1,1,0,0,-9.89e-29,2.78e-28
3,2,2,0,0,1,1,1,0,1,-6.53e-25,-0.0876
3,2,2,1,0,1,1,1,0,0,0.077,-0.00459
3,2,2,1,0,1,1,1,1,0,0.00928,0.111
3,2,2,0,1,1,1,1,0,0,-0.077,0.00459
3,2,2,0,1,1,1,1,0,1,-0.00928,-0.111
2,2,3,0,0,1,1,1,0,0,-0.0144,-0.114
2,2,3,0,0,1,1,1,1,0,0.343,-0.106
2,2,3,1,0,1,1,1,0,0,-0.0275,-0.121
2,2,3,1,0,1,1,1,1,0,1.01,0.607
2,2,3,0,1,1,1,1,0,0,-0.0398,-0.116
2,2,3,0,1,1,1,1,1,0,0.624,0.138
4,2,3,0,0,1,1,1,0,0,-0.0279,0.113
4,2,3,0,0,1,1,1,1,0,-0.0359,-0.119
4,2,3,1,0,1,1,1,0,0,-0.13,0.14
4,2,3,1,0,1,1,1,1,0,-0.106,-0.132
4,2,3,0,1,1,1,1,0,0,0.0437,0.13
4,2,3,0,1,1,1,1,1,0,-0.101,-0.131
3,2,4,0,0,1,1,1,0,0,0.0162,0.163
3,2,4,0,0,1,1,1,1,0,-0.239,-0.0905
3,2,4,1,0,1,1,1,0,0,0.0248,0.174
3,2,4,1,0,1,1,1,1,0,-0.795,-0.446
3,2,4,0,1,1,1,1,0,0,0.0473,0.164
3,2,4,0,1,1,1,1,1,0,-0.412,-0.174
5,2,4,0,0,1,1,1,0,0,0.0489,-0.222
5,2,4,0,0,1,1,1,1,0,0.0435,0.16
5,2,4,1,0,1,1,1,0,0,0.181,-0.273
5,2,4,1,0,1,1,1,1,0,0.124,0.182
5,2,4,0,1,1,1,1,0,0,-0.029,-0.24
5,2,4,0,1,1,1,1,1,0,0.105,0.169
4,2,5,0,0,1,1,1,0,0,-0.0164,-0.211
4,2,5,0,0,1,1,1,1,0,0.235,0.231
4,2,5,1,0,1,1,1,0,0,-0.0176,-0.227
4,2,5,1,0,1,1,1,1,0,0.774,0.546
4,2,5,0,1,1,1,1,0,0,-0.0521,-0.211
4,2,5,0,1,1,1,1,1,0,0.385,0.282
6,2,5,0,0,1,1,1,0,0,-0.071,0.333
6,2,5,0,0,1,1,1,1,0,-0.0502,-0.206
6,2,5,1,0,1,1,1,0,0,-0.24,0.413
6,2,5,1,0,1,1,1,1,0,-0.145,-0.235
6,2,5,0,1,1,1,1,0,0,0.014,0.351
6,2,5,0,1,1,1,1,1,0,-0.112,-0.214
5,2,6,0,0,1,1,1,0,0,0.0158,0.263
5,2,6,0,0,1,1,1,1,0,-0.252,-0.361
5,2,6,1,0,1,1,1,0,0,0.00771,0.284
5,2,6,1,0,1,1,1,1,0,-0.813,-0.688
5,2,6,0,1,1,1,1,0,0,0.0556,0.262
5,2,6,0,1,1,1,1,1,0,-0.395,-0.399
7,2,6,0,0,1,1,1,0,0,0.0953,-0.451
7,2,6,0,0,1,1,1,1,0,0.0568,0.256
7,2,6,1,0,1,1,1,0,0,0.307,-0.562
